"Dx","GIMME","iMAT","INIT","FASTCORE"
"D87_Fallopian_Tube_Endometrioid_carcinoma",182,165,183,164
"D88_Fallopian_Tube_Papillary_Serous_Carcinoma",182,165,183,156
"D89_Fallopian_Tube_Serous_cystadenocarcinoma_NOS",184,161,183,163
"D90_Femoral_Lymph_Node_Mantle_Cell_Lymphoma",180,159,182,148
"D91_Gallbladder_Adenocarcinoma",182,158,183,154
"D92_Gastroesophageal_junction_Adenocarcinoma",186,159,185,153
"D93_GI_Tract_Connective_Tissue_Gastrointestinal_stromal_tumor_b",178,162,178,151
"D94_Head_of_Pancreas_Ductal_adenocarcinoma",179,149,181,142
"D95_Hepatic_Flexure_Adenocarcinoma",181,152,181,149
"D96_Ileum_Malignant_carcinoid_tumor",177,154,178,151
"D97_Ileum_Anaplastic_large_cell_lymphoma",185,160,184,157
"D98_Ileum_Carcinoid_Tumor",180,156,182,153
"D99_Bone_Dedifferentiated_chondrosarcoma",181,155,183,148
"D100_Islets_of_Langerhans_Malignant_gastrinoma",177,157,180,149
"D101_Jejunum_Adenocarcinoma",174,149,179,147
"D102_Jejunum_Follicular_lymphoma",180,158,183,152
"D103_Kidney_Adenocarcinoma_clear_cell_type",178,149,181,149
"D104_Kidney_Adenocarcinoma_NOS",175,151,182,148
"D105_Kidney_Chromophobe_renal_carcinoma",181,140,183,134
"D106_Kidney_Clear_cell_adenocarcinoma",180,161,184,158
"D107_Kidney_Collecting_duct_carcinoma",180,161,184,158
"D108_Kidney_Conventional__clear_cell__renal_carcinoma",180,164,183,157
"D109_Kidney_Cyst_associated_renal_cell_carcinoma",172,159,176,154
"D110_Kidney_Granular_cell_carcinoma",177,146,179,131
"D111_Kidney_Granular_cell_carcinoma",179,142,180,141
"D112_Kidney_Leiomyosarcoma",177,165,178,152
"D113_Kidney_Mixed_type_renal_cell_carcinoma",184,166,185,156
"D114_Kidney_Papillary_renal_cell_carcinoma",178,157,182,145
"D115_Kidney_Papillary_transitional_cell_carcinoma",181,158,182,150
"D116_Kidney_Renal_cell_carcinoma",180,147,182,139
"D117_Kidney_Renal_cell_carcinoma_sarcomatoid",183,161,183,155
"D118_Kidney_Tubulo_papillary_renal_cell_carcinoma",178,125,180,122
"D119_Kidney_Urothelial__transitional_cell__carcinoma",177,153,178,149
"D120_Kidney_Urothelial_sarcomatoid_carcinoma",184,165,184,157
"D121_Kidney_Angiomyolipoma",178,143,180,130
"D122_Kidney_Malignant_renal_oncocytoma",176,152,177,145
"D123_Kidney_Oncocytoma",177,149,179,140
"D124_Kidney_Renal_oncocytoma",179,159,179,149
"D125_Kidney_Solitary_fibrous_tumor",179,162,181,151
"D126_Liver_Adenocarcinoma_NOS",182,160,185,154
"D127_Liver_Intrahepatic_Cholangiocarcinoma",180,154,182,149
"D128_Lung_Adenocarcinoma_NOS",179,148,181,136
"D129_Lung_Adenosquamous_Carcinoma",187,160,186,154
"D130_Lung_Bronchioloalveolar_carcinoma",179,149,184,143
"D131_Lung_Large_cell_carcinoma",182,154,183,149
"D132_Lung_Large_cell_neuroendocrine_carcinoma",181,154,181,161
"D133_Lung_Mucinous_Adenocarcinoma",182,148,185,137
"D134_Lung_Mucin_producing_adenocarcinoma",177,149,180,143
"D135_Lung_Mucoepidermoid_Carcinoma",179,153,182,148
"D136_Lung_Neuroendocrine_carcinoma",179,155,182,151
"D137_Lung_Non_small_cell_carcinoma",175,148,179,148
"D138_Lung_Papillary_adenocarcinoma",180,151,182,147
"D139_Lung_Squamous_cell_carcinoma",182,157,183,154
"D140_Lung_Squamous_cell_carcinoma_non_keratinizing",182,159,183,150
"D141_Lung_Synovial_sarcoma_monophasic_fibrous",180,163,182,153
"D142_Lymph_Node_Follicular_lymphoma",179,156,181,145
"D143_Lymph_Node_Squamous_cell_carcinoma",179,160,181,161
"D144_Lymph_Node_Mature__peripheral__B_cell_lymphoma",184,157,186,154
"D145_Mesenteric_Lymph_Node_Diffuse_large_B_cell_lymphoma",178,157,179,152
"D146_Mesenteric_Lymph_Node_Follicular_lymphoma",178,156,180,146
"D147_Myometrium_Leiomyosarcoma",180,160,180,156
"D148_Neck_mass_Papillary_carcinoma",183,160,183,149
"D149_Omentum_Malignant_mixed_muellerian_tumor",183,172,183,165
"D150_Omentum_Serous_Adenocarinoma",184,166,185,161
"D151_Omentum_Squamous_cell_carcinoma",181,161,182,158
"D152_Ovary_Adenocarcinoma",183,168,184,160
"D153_Ovary_Adenocarcinoma_with_mixed_subtypes",185,167,185,162
"D154_Ovary_Adenocarcinoma_endometrioid_and_papillary_serous",181,166,183,161
"D155_Ovary_Benign_serous_cystadenoma_of_borderline_malignancy",182,156,182,154
"D156_Ovary_Carcinoid_tumor_with_atypical_features",176,164,177,156
"D157_Ovary_Carcinoma_NOS",180,170,181,156
"D158_Ovary_Carcinosarcoma",175,162,180,154
"D159_Ovary_Clear_cell_adenocarcinoma",182,154,182,152
"D160_Ovary_Clear_cell_adenocarcinoma_NOS",185,167,185,161
"D161_Ovary_Diffuse_large_B_cell_lymphoma",178,155,182,149
"D162_Ovary_Dysgerminoma",184,161,184,157
"D163_Ovary_Endometrioid_Adenocarcinoma",179,160,180,153
"D164_Ovary_Endometrioid_adenocarcinoma_with_sguamous_metaplasia",181,153,180,146
"D165_Ovary_Endometrioid_adenocarcinoma_secretory_variant",182,156,183,147
"D166_Ovary_Endometrioid_carcinoma",181,158,183,155
"D167_Ovary_Malignant_mixed_muellerian_tumor",182,165,181,157
"D168_Ovary_Malignant_teratoma",182,162,184,161
"D169_Ovary_Mixed_Adenocarcinoma_Endometrioid_and_Clear_Cell_Typ",182,160,184,152
"D170_Ovary_Mixed_endometrioid_and_papillary_serous_adenocarcino",183,151,184,148
"D171_Ovary_Mixed_epithelial_tumor",179,149,182,143
"D172_Ovary_Mucinous_Adenocarcinoma",181,161,183,151
"D173_Ovary_Mucinous_Carcinoma",180,163,180,159
"D174_Ovary_Mucinous_cystadenocarcinoma",182,155,181,142
"D175_Ovary_Mucinous_cystic_tumor_of_low_malignant_potential",180,160,183,157
"D176_Ovary_Papillary_cystadenocarcinoma",179,162,182,149
"D177_Ovary_Papillary_mucinous_cystadenocarcinoma",181,156,182,158
"D178_Ovary_Papillary_Serous_Adenocarcinoma",183,170,183,165
"D179_Ovary_Papillary_Serous_Carcinoma",181,164,182,159
"D180_Ovary_Papillary_serous_cystadenocarcinoma",181,160,182,159
"D181_Ovary_Papillary_serous_tumor_of_low_malignant_potential",183,160,184,154
"D182_Ovary_Serous_Adenocarinoma",180,162,182,159
"D183_Ovary_Signet_Ring_Cell_Carcinoma",181,157,181,154
"D184_Ovary_Transitional_cell_carcinoma",178,164,180,163
"D185_Ovary_Undifferentiated_Carcinoma",183,158,183,158
"D186_Ovary_Adult_Granulosa_Cell_Tumor",177,158,179,148
"D187_Ovary_Borderline_tumor_of_ovary_mixed_epithelial_type",178,162,181,157
"D188_Ovary_Endometrioid_tumor_of_low_malignant_potential",180,155,180,143
"D189_Pancreas_Adenocarcinoma_NOS",181,156,183,145
"D190_Pancreas_Carcinoma_with_osteoclast_like_giant_cells",185,168,186,160
"D191_Pancreas_Colloid_Adenocarcinoma_w_Intraductal_Papillary_Mu",180,158,183,150
"D192_Pancreas_Ductal_adenocarcinoma",186,160,187,155
"D193_Para_aortic_tissue_Mixed_germ_cell_tumor",185,162,186,154
"D194_Parotid_Gland_Epithelial_myoepithelial_carcinoma",179,156,180,152
"D195_Parotid_Gland_Keratinizing_Squamous_Cell_Carcinoma",183,170,184,158
"D196_Parotid_Gland_Large_cell_carcinoma",180,157,183,153
"D197_Parotid_Gland_Mucoepidermoid_Carcinoma",181,158,182,154
"D198_Parotid_Lymph_Node_Malignant_melanoma_NOS",185,158,185,148
"D199_Pelvic_Lymph_Node_Follicular_lymphoma",182,155,184,150
"D200_Pelvic_Lymph_Node_Squamous_cell_carcinoma",183,163,184,162
"D201_Pelvic_Lymph_Node_Squamous_cell_carcinoma_non_keratinizing",180,160,182,158
"D202_Pelvic_Malignant_mixed_muellerian_tumor",177,164,182,159
"D203_Pelvic_Papillary_endometrioid_adenocarcinoma_of_low_malign",182,159,182,153
"D204_Soft_Tissue_Carcinoma_NOS",185,163,184,162
"D205_Pelvic_Papillary_Serous_Adenocarcinoma",181,160,182,159
"D206_Penis_Squamous_cell_carcinoma",182,160,182,148
"D207_Peritoneum_Adenocarcinoma",180,161,182,162
"D208_Soft_Tissue_Malignant_fibrous_histiocytoma",183,166,182,158
"D209_Prostate_Adenocarcinoma_Acinar_Type",178,153,181,146
"D210_Prostate_Adenocarcinoma_NOS",181,137,180,132
"D211_Rectosigmoid_Adenocarcinoma",184,160,186,155
"D212_Rectosigmoid_Adenocarcinoma_arising_in_a_villous_adenoma",184,156,183,146
"D213_Rectosigmoid_Adenocarcinoma_in_adenomatous_polyp",177,153,178,147
"D214_Rectosigmoid_Junction_Mucinous_Carcinoma",183,162,184,157
"D215_Rectum_Adenocarcinoma",184,162,186,155
"D216_Rectum_Adenocarcinoma_in_adenomatous_polyp",182,159,182,153
"D217_Rectum_Carcinoma_in_situ_arising_in_a_villous_adenoma",179,155,179,156
"D218_Rectum_Mucinous_Carcinoma",184,150,184,145
"D219_Rectum_Signet_Ring_Cell_Carcinoma",185,152,185,143
"D220_Renal_Pelvis_Papillary_transitional_cell_carcinoma",174,151,177,146
"D221_Renal_Pelvis_Squamous_cell_carcinoma",183,162,183,156
"D222_Renal_Pelvis_Transitional_cell_carcinoma",182,163,182,153
"D223_Renal_Pelvis_Urothelial__transitional_cell__carcinoma",181,155,182,153
"D224_Renal_Pelvis_Oncocytoma",178,149,178,143
"D225_Retroperitoneal_Mass_Liposarcoma",181,154,181,147
"D226_Retroperitoneal_Mass_Spindle_Cell_Sarcoma",170,150,177,151
"D227_Retroperitoneum_Dedifferentiated_liposarcoma",181,163,183,155
"D228_Retroperitoneum_Leiomyosarcoma",185,170,185,164
"D229_Sigmoid_Colon_Adenocarcinoma",181,161,183,154
"D230_Sigmoid_Colon_Adenocarcinoma_arising_in_a_villous_adenoma",181,152,182,149
"D231_Skin_Squamous_cell_carcinoma_NOS",185,158,185,148
"D232_Small_Intestine_Adenocarcinoma",186,160,185,157
"D233_Small_Intestine_Adenocarcinoma_arising_in_tubular_adenoma",174,134,177,130
"D234_Small_Intestine_B_cell_lymphoma_NOS",182,155,185,148
"D235_Small_Intestine_Carcinoid_Tumor",172,150,175,143
"D236_Small_Intestine_Malignant_lymphoma_large_B_cell_diffuse_im",180,167,184,151
"D237_Small_Intestine_Gastrointestinal_Stromal_Tumor__GIST_",180,164,182,155
"D238_Small_Intestine_Neuroendocrine_carcinoma_NOS",174,155,177,145
"D239_Soft_Tissue_Myxoid_liposarcoma",179,159,181,149
"D240_Soft_Tissue_Pleomorphic_sarcoma",179,161,183,155
"D241_Soft_Tissue_Leiomyosarcoma",186,168,186,160
"D242_Soft_Tissue_Malignant_peripheral_nerve_sheath_tumor",182,168,182,164
"D243_Soft_Tissue_Myxoid_pleomorphic_spindle_cell_sarcoma",179,165,182,155
"D244_Soft_Tissue_Liposarcoma",185,157,185,152
"D245_Soft_Tissue_Pleomorphic_sarcoma",187,160,187,157
"D246_Soft_Tissue_Undifferentiated_sarcoma",174,153,178,153
"D247_Soft_Tissue_Ewings_sarcoma_primitive_neuroectodermal_tumor",178,154,179,159
"D248_Soft_Tissue_Synovial_sarcoma",187,167,187,156
"D249_Soft_Tissue_Cellular_Schwannoma",169,147,176,143
"D250_Soft_Tissue_Leiomyosarcoma",185,163,184,156
"D251_Soft_Tissue_Sarcoma_NOS",182,159,184,157
"D252_Spinal_cord_Ependymoma_myxopapillary",177,163,179,157
"D253_Spleen_Carcinoma_NOS",181,160,181,154
"D254_Spleen_Follicular_lymphoma",182,166,184,148
"D255_Spleen_Splenic_marginal_zone_B_cell_lymphoma",178,164,181,152
"D256_Stomach_Adenocarcinoma",185,162,185,155
"D257_Stomach_Adenocarcinoma_Diffuse_Type",182,162,183,158
"D258_Stomach_Signet_Ring_Cell_Carcinoma",182,143,183,134
"D259_Stomach_Spindle_Cell_Sarcoma",182,157,184,158
"D260_Stomach_Tubular_adenocarcinoma",182,153,183,143
"D261_Stomach_Gastrointestinal_stromal_tumor",182,165,183,157
"D262_Stomach_Solitary_fibrous_tumor_benign",184,161,185,152
"D263_Thyroid_Follicular_adenocarcinoma",173,153,178,144
"D264_Superior_mediastinal_lymph_node_Papillary_carcinoma",180,164,181,154
"D265_Thyroid_Medullary_Carcinoma_NOS",181,162,183,152
"D266_Supraclavicular_Lymph_Node_Squamous_cell_carcinoma",178,158,181,149
"D267_Testis_Anaplastic_seminoma",184,161,183,157
"D268_Testis_Mixed_germ_cell_tumor",185,160,186,151
"D269_Thyroid_Papillary_carcinoma",182,162,182,149
"D270_Thyroid_Papillary_carcinoma_follicular_variant",182,154,183,150
"D271_Thyroid_Papillary_carcinoma_oncocytic_variant",178,143,181,141
"D272_Thyroid_Papillary_carcinoma_tall_cell_variant",178,162,181,154
"D273_Tongue_Squamous_cell_carcinoma",184,163,184,156
"D274_Ureter_Papillary_transitional_cell_carcinoma",183,155,183,155
"D275_Ureter_Transitional_cell_carcinoma",182,152,183,150
"D276_Ureterovesicle_junction_Urothelial__transitional_cell__car",182,155,182,155
"D277_Urinary_Bladder_Keratinizing_Squamous_Cell_Carcinoma",188,160,187,153
"D278_Urinary_Bladder_Papillary_carcinoma",181,166,182,155
"D279_Urinary_Bladder_Papillary_transitional_cell_carcinoma",183,161,184,152
"D280_Urinary_Bladder_Small_cell_carcinoma_NOS",177,151,181,147
"D281_Urinary_Bladder_Urothelial__transitional_cell__carcinoma",183,154,184,151
"D282_Urinary_Tract_NOS_Papillary_transitional_cell_carcinoma",174,162,178,160
"D283_Uterine_Cervix_Squamous_cell_carcinoma",182,161,183,155
"D284_Uterine_Corpus_Endometrioid_carcinoma",182,158,183,158
"D285_Uterus_Adenocarcinoma",181,158,181,149
"D286_Uterus_Adenocarcinoma_with_squamous_metaplasia",183,165,185,151
"D287_Uterus_Adenosquamous_Carcinoma",185,163,184,160
"D288_Uterus_Carcinosarcoma",185,160,184,156
"D289_Uterus_Clear_cell_adenocarcinoma",185,160,184,159
"D290_Uterus_Endometrioid_Adenocarcinoma",183,158,183,154
"D291_Uterus_Endometrioid_carcinoma",183,162,184,155
"D292_Uterus_Malignant_Mixed_mesodermal_tumor",180,157,180,155
"D293_Uterus_Malignant_mixed_muellerian_tumor",182,163,183,163
"D294_Uterus_Mixed_Cell_Adenocarcinoma",183,154,184,150
"D295_Uterus_Mixed_clear_cell_and_endometrioid_adenocarcinoma",179,158,179,145
"D296_Uterus_Mixed_endometrioid_and_serous_adenocarcinoma",181,165,183,161
"D297_Uterus_Papillary_Serous_Carcinoma",188,158,187,158
"D298_Uterus_Sarcoma_NOS",180,164,181,158
"D299_Uterus_Serous_adenocarcinoma__papillary_serous_",179,170,182,164
"D300_Uterus_Serous_cystadenocarcinoma",183,161,184,156
"D301_Uterus_Squamous_cell_carcinoma",182,157,182,154
"D302_Uterus_Undifferentiated_Carcinoma",179,160,181,152
"D303_Uterus_Leiomyosarcoma",185,160,183,155
"D304_Vagina_Adenocarcinoma_mixed_epithelial_type",182,161,182,156
"D305_Vaginal_Muellerian_adenosarcoma_with_rhabdomyosarcomatous_",180,164,181,156
"D306_Vaginal_Squamous_cell_carcinoma_non_keratinizing",185,165,186,156
"D307_Vulva_Basal_Cell_carcinoma_NOS",181,163,181,157
"D308_Vulva_Keratinizing_Squamous_Cell_Carcinoma",185,161,185,152
"D309_Vulva_Nodular_melanoma",177,160,180,154
"D310_Vulva_Squamous_cell_carcinoma",182,168,183,159
"D311_Vulvar_Malignant_mixed_muellerian_tumor",186,161,185,154
"D312_Acetabulum_Dedifferentiated_chondrosarcoma",185,168,184,159
"D313_Axillary_Lymph_Node_Ductal_Carcinoma",186,164,187,157
"D314_Breast_Pleomorphic_liposarcoma",179,156,180,150
"D315_Colon_Papillary_Serous_Adenocarcinoma",175,160,177,153
